PLAYER,TEAM,AGE,GP,W,L,MIN,DEF RTG,DREB,DREB%,%DREB,STL,STL%,BLK,%BLK,"OPP PTS
OFF TOV","OPP PTS
2ND CHANCE","OPP PTS
FB","OPP PTS
PAINT","DEF
WS"
Bobby Brown,HOU,33,20,17,3,5.7,115.5,0.4,7,8.4,0.2,22.2,0,0,2.5,0.8,1.3,5.2,-0.001
Bobby Portis,CHI,23,73,25,48,22.5,109.2,4.6,23.4,29.4,0.7,18.2,0.3,21.7,7.1,5.5,5.1,20.3,0.015
Bogdan Bogdanovic,SAC,25,78,26,52,27.9,110.8,2.5,10.7,13.8,0.9,21,0.2,9,9.1,6.5,7.1,24.7,0.013
Bojan Bogdanovic,IND,29,80,47,33,30.8,104.3,3,10.8,14.2,0.7,12,0.1,3.6,9.8,8.5,8.4,29.8,0.039
Bradley Beal,WAS,24,82,43,39,36.3,105.3,3.7,11.2,14.7,1.2,19.3,0.4,12.8,12.5,9.9,8.4,34.1,0.041
Brandan Wright,HOU,30,28,11,17,13.6,98.5,2.2,18.7,24.9,0.5,21,0.9,49.1,4.1,3.4,2.9,10.6,0.026
Brandon Ingram,LAL,20,59,27,32,33.5,106,4.4,13.7,17.7,0.8,14.3,0.7,20.2,13.1,9.4,8.6,33.5,0.036
Brandon Jennings,MIL,28,14,8,6,14.7,112,1.9,14.9,19.3,0.4,15.8,0.3,20,5.6,4.6,6,17.9,0.005
Brandon Paul,SAS,27,64,38,26,9,100,1,12.4,16,0.4,25.5,0.1,12.3,3.5,2.2,2.1,8.1,0.016
Briante Weber,MEM,25,18,8,10,13.1,122.4,1.5,14.1,18.4,1,48.6,0.3,20,4.5,3.5,4.7,14.1,-0.013
Brice Johnson,MEM,23,18,2,16,5.5,105.9,1.2,25.3,32.8,0.5,33.3,0.3,60,2.4,1.4,1.7,5.4,0.006
Brook Lopez,LAL,30,74,34,40,23.4,107.8,3,13.1,16.7,0.4,11,1.3,54.1,8.6,6.7,6.6,23.8,0.02
Bruno Caboclo,SAC,22,12,4,8,8.8,94.8,1.3,17.9,20.8,0.3,18.8,0.3,30.8,3.4,2.1,1.9,6.8,0.021
Bryn Forbes,SAS,24,80,46,34,19,103.2,1.2,7.4,9.4,0.4,12.2,0,1.3,5.9,5,4.5,17.7,0.026
Buddy Hield,SAC,24,80,27,53,25.3,106.5,3.2,14.9,19,1.1,25,0.3,12.6,8,6.1,6,21.5,0.025
C.J. Williams,LAC,28,38,17,21,18.6,106.7,1.2,6.6,8.7,0.8,27.9,0.3,18.8,6.7,5.2,5.8,16.1,0.018
CJ McCollum,POR,26,81,48,33,36.1,104.7,3.3,10,12.6,1,17.3,0.4,10.8,10.6,8.5,8.9,32.1,0.044
CJ Miles,TOR,31,70,50,20,19.1,102.2,1.9,11.3,15.1,0.5,16.2,0.3,11.2,5.4,5.7,4.2,17.9,0.029
Caleb Swanigan,POR,21,27,16,11,7,101.6,1.4,22.5,28.5,0.2,15.6,0.1,25,2,1.4,1.8,5.9,0.011
Cameron Payne,CHI,23,25,7,18,23.3,110.2,2,9.8,12.2,1,25.5,0.4,27.3,7.4,5.4,4.7,19.8,0.013
Caris LeVert,BKN,23,71,25,46,26.2,108.4,2.9,11.8,15.3,1.2,33.3,0.3,12.4,9.5,7.7,6.2,25.2,0.02
Carmelo Anthony,OKC,34,78,46,32,32.1,105.6,4.9,17.8,22.6,0.6,10,0.6,20.7,9.7,7.8,8,29.7,0.036
Cedi Osman,CLE,23,61,35,26,11,109.1,1.7,16.5,21,0.4,21.8,0,6.1,3.9,2.9,2.4,10.1,0.007
Chandler Parsons,MEM,29,36,12,24,19.2,112.4,2.1,13.3,17.2,0.5,19.4,0.3,17.7,6.9,4.5,5.2,17.9,0.005
Channing Frye,LAL,35,53,28,25,13.1,104.5,2.3,18.8,24.5,0.3,20.5,0.2,23.2,4.4,3.2,2.3,11.8,0.016
Charles Cooke,NOP,23,13,8,5,2.9,105.2,0.2,5.6,7.7,0.1,33.3,0,0,1.1,0.4,0.4,2.2,0.003
Cheick Diallo,NOP,21,52,29,23,11.2,110.9,3.2,29.4,39,0.2,14.3,0.4,36.8,4.5,3,2.6,11.5,0.005
Chinanu Onuaku,HOU,21,1,0,1,21.6,96.9,3,17.6,23.1,0,0,0,0,8,4,2,16,0.043
Chris Boucher,GSW,25,1,1,0,1.3,106.4,1,100,100,0,0,0,0,0,0,0,2,0.001
Chris McCullough,WAS,23,19,11,8,4.7,111.2,0.9,22,28.1,0,0,0.3,71.4,1.5,1.4,1.6,4,0.002
Chris Paul,HOU,33,58,50,8,31.8,103.8,4.8,17,21.5,1.7,27.7,0.2,7.9,8.7,8,7.5,30.8,0.042
Clint Capela,HOU,24,74,62,12,27.5,104.1,7.6,30.7,38.4,0.8,16.7,1.9,58.3,8.7,6.5,7.1,29.3,0.035
Cody Zeller,CHA,25,33,14,19,19,105,3.3,20.9,24.8,0.4,14.3,0.6,46.7,5.5,2.8,3.4,17.3,0.022
Cole Aldrich,MIN,29,21,14,7,2.3,113,0.6,31.6,40,0.1,14.3,0,25,0.9,1.3,0.4,1.7,0
Corey Brewer,OKC,32,72,32,40,16.8,108.4,1.5,10,13.2,1.1,36.2,0.2,13,6.3,4.8,4.9,16.9,0.013
Cory Joseph,IND,26,82,48,34,27,105.8,2.7,11.4,14.7,1,20.9,0.2,9.9,8.2,6.7,6.4,24.2,0.029
Courtney Lee,NYK,32,76,27,49,30.4,109.8,2.6,9.3,12.2,1.1,26,0.2,6.5,11.3,8.4,7.9,28.1,0.018
Cristiano Felicio,CHI,25,55,13,42,17.8,111.6,2.7,17.4,22,0.3,10.5,0.2,18.3,6.5,4.2,4.1,15.9,0.006
D'Angelo Russell,BKN,22,48,16,32,25.7,111.7,3.3,13.7,18.6,0.8,20.3,0.4,11.8,9.8,8.1,7.5,28.5,0.009
D.J. Augustin,ORL,30,75,23,52,23.5,105.5,1.7,8.2,10.7,0.7,19.9,0,0,8.1,5.8,7.1,23.6,0.026
D.J. Wilson,MIL,22,22,12,10,3.2,118.6,0.4,17,21.6,0.1,18.8,0,20,1.1,0.7,0.7,3.1,-0.002
Dakari Johnson,OKC,22,31,21,10,5.2,90.5,0.6,12.7,15.7,0.2,15.4,0.3,53.3,1.5,0.7,1,3.5,0.015
Damian Jones,GSW,22,15,7,8,5.9,99.8,0.6,10.7,15.5,0.1,6.3,0.2,42.9,0.9,2.1,1.3,5.9,0.01
Damian Lillard,POR,27,73,44,29,36.6,103.5,3.6,10.6,13.3,1.1,19.2,0.4,8.9,11.3,8.9,8.7,32.7,0.05
Damien Wilkins,IND,38,19,10,9,8,106.4,0.6,7.9,10.8,0.1,9.5,0.1,10,1.7,1.9,1.8,8.4,0.008
Damion Lee,ATL,25,15,4,11,27,105,4,14.7,18.3,1.3,31.1,0.1,3.3,10,5.3,8,23.7,0.032
Damyean Dotson,NYK,24,44,11,33,10.8,102.9,1.7,16.1,21.6,0.3,17.4,0,3.9,3.8,3.6,2.4,9.2,0.015
Daniel Hamilton,OKC,22,6,5,1,4.6,103.7,0.8,19.2,27.8,0.2,20,0,0,1,1.3,0.7,5,0.006
Daniel Theis,BOS,26,63,44,19,14.9,102,2.9,21.7,27.8,0.5,22.2,0.8,47.1,4.9,3.4,3.3,12.6,0.023
Danilo Gallinari,LAC,29,21,11,10,32,104.2,4.4,14.7,18.9,0.6,11.8,0.5,16.1,9.8,7,9,28.4,0.039
Danny Green,SAS,30,70,40,30,25.6,102.3,3,12.7,16.1,0.9,21.7,1.1,33.6,7.6,5.8,6.5,22.8,0.038
Dante Cunningham,BKN,31,73,34,39,21.4,106.5,3,15.4,19.7,0.5,15.9,0.4,18.3,7.9,5.7,6.6,21.8,0.022
Dante Exum,UTA,22,14,10,4,16.8,98.9,1.6,9.6,12.4,0.6,20,0.2,8.1,5.3,5.1,2.9,14.3,0.034
Danuel House,PHX,24,23,6,17,17.5,104.8,2.7,16.2,20.5,0.3,13,0.3,23.1,5.8,4.9,4.4,13.9,0.021
Dario Saric,PHI,24,78,49,29,29.6,102.2,4.7,16.6,21,0.7,13.1,0.3,8.8,11.2,7.1,6.3,25.4,0.045
Darius Miller,NOP,28,82,48,34,23.7,107.6,1.8,8,10.4,0.3,9.3,0.2,7.9,8.4,7.1,6.7,24.1,0.021
Darrell Arthur,DEN,30,19,12,7,7.4,112.8,0.6,9.7,13.3,0.4,29.6,0.2,21.4,2.8,1.6,1.5,8.1,0.002
Darren Collison,IND,30,69,39,30,29.3,106.6,2,7.9,10.5,1.3,23,0.2,7.8,8.7,7.9,7.5,27.6,0.029
Darrun Hilliard,SAS,25,14,8,6,6.8,111.5,0.5,8.6,11.1,0.1,20,0,0,2.4,2.2,1.8,6.1,0.003
David Nwaba,CHI,25,70,26,44,23.5,108.9,3.4,15.9,19.9,0.8,22.6,0.4,23,7.9,6,5.2,22.6,0.017
David Stockton,UTA,26,3,3,0,3.1,142.6,0,0,0,0,0,0,0,2.7,0,1.3,3.3,-0.011
David West,GSW,37,73,52,21,13.7,99.5,2.4,18.6,24.2,0.6,27,1,44.4,5,4.1,3.4,13,0.024
Davis Bertans,SAS,25,77,43,34,14.1,101.6,1.8,13.8,17.8,0.3,14.9,0.4,23.5,4.5,3.8,3.3,12.7,0.023
Davon Reed,PHX,22,21,2,19,11.5,106.7,1.8,17.1,22.2,0.5,22.7,0.1,9.1,3.4,2.2,2.8,10.8,0.011
De'Aaron Fox,SAC,20,73,24,49,27.7,110.9,2.3,9.9,12.9,1,21.1,0.3,12.3,9.4,7,7.7,25.2,0.013
DeAndre Jordan,LAC,29,77,39,38,31.5,109,10.9,37.7,48.5,0.5,10.8,0.9,34.1,11.3,8.2,10.4,29,0.021
DeAndre Liggins,NOP,30,58,34,24,12.5,110.3,1.2,11.8,15.6,0.6,28.9,0.2,17.1,3.9,2.8,2.9,12.1,0.006
DeAndre' Bembry,ATL,23,26,8,18,17.5,105.3,2.5,16.4,21.8,0.8,25.6,0.5,30,6.3,5.3,4,15.5,0.02
DeMar DeRozan,TOR,28,80,57,23,33.9,105.4,3.2,10.2,13,1.1,22,0.3,6.7,10.2,9,8.9,32.4,0.039
DeMarcus Cousins,NOP,27,48,27,21,36.2,106.2,10.7,32.5,41.3,1.6,28.3,1.6,40.2,13.1,9,10.3,33.2,0.036
DeMarre Carroll,BKN,31,73,25,48,29.9,107.7,5.1,18.3,24.3,0.8,20.4,0.4,13.2,9.8,8.8,7.1,29.5,0.025
Dejounte Murray,SAS,21,81,47,34,21.5,98.1,4.3,22,27.4,1.2,32.6,0.4,13.4,6.4,5,5.5,18.9,0.044
Delon Wright,TOR,26,69,49,20,20.8,102.1,2.2,12.1,15.9,1,27.7,0.5,16.3,6.5,6,4.7,19.2,0.031
Demetrius Jackson,PHI,23,15,12,3,5.3,109,0.5,10.3,11.9,0.3,45.5,0.1,14.3,2.3,0.9,0.5,4.5,0.004
Dennis Schroder,ATL,24,67,21,46,31,110.2,2.4,9,12.1,1.1,19.6,0.1,2.9,11.8,8.7,8.7,30.1,0.017
Dennis Smith Jr.,DAL,20,69,22,47,29.7,110.1,3,11.8,15,1,23.1,0.3,11.7,8.8,6.9,9,27,0.017
Denzel Valentine,CHI,24,77,26,51,27.2,108.3,4.5,18.5,22.9,0.8,19.8,0.1,6.8,9.4,6.1,6.4,24.5,0.021
Derrick Favors,UTA,26,77,46,31,28,103,4.6,18.4,23,0.7,14.8,1.1,38.5,9.8,6,5.9,24.9,0.039
Derrick Jones Jr.,MIA,21,20,9,11,12.3,102.5,0.9,7.4,8.9,0.2,15.4,0.7,37.1,4.3,2.7,2.3,11,0.018
Derrick Rose,MIN,29,25,15,10,16.8,112.5,0.9,6,8.2,0.3,10.8,0.2,11.4,6.8,5,5,19.4,0.005
Derrick Walton Jr.,MIA,23,16,8,8,9.2,109.2,0.9,10.5,13.5,0.4,38.9,0.2,30,2.5,2.3,1.3,7.5,0.006
Derrick White,SAS,23,17,7,10,8.2,88.6,1.2,14.9,19.8,0.2,13.8,0.2,16.7,1.8,2.5,1.4,7.3,0.028
Derrick Williams,LAL,27,2,1,1,4.3,61.5,0.5,14.3,14.3,0,0,0,0,2,0,1,1,0.03
Devin Booker,PHX,21,54,16,38,34.5,111.6,4,12.6,16.4,0.9,17.3,0.3,7.7,14.2,9.2,11.6,33.9,0.013
Devin Harris,DEN,35,71,33,38,18.9,106.8,1.6,9.5,12.3,0.7,23.7,0.2,9.6,6.6,4.9,5.5,16.5,0.018
Devin Robinson,WAS,23,1,0,1,13.2,83.9,3,30,30,1,100,0,0,2,0,2,6,0.05
Dewayne Dedmon,ATL,28,62,18,44,24.9,107.6,6.3,27.5,35.5,0.6,16,0.8,35.9,9.4,6.3,6.3,21.7,0.021
Deyonta Davis,MEM,21,62,16,46,15.2,109.4,2.8,20.7,28.8,0.2,9.7,0.6,36.8,6.1,4.9,4.7,14.5,0.01
Dillon Brooks,MEM,22,82,22,60,28.7,106.9,2.5,10.4,13.5,0.9,20.6,0.2,7.9,10.1,6.9,8.3,24.5,0.027
Dion Waiters,MIA,26,30,16,14,30.6,104.6,2.3,8.8,11,0.8,16.3,0.3,10.3,10.6,7.7,5.9,27.9,0.037
Dirk Nowitzki,DAL,39,77,24,53,24.7,109.7,5.4,25,31.7,0.6,16.3,0.6,38.8,7,5.6,8.4,21.5,0.015
Domantas Sabonis,IND,22,74,45,29,24.5,104.9,5.5,25.6,33.1,0.5,12.5,0.4,25,8.3,6.3,6.3,22.4,0.029
Donovan Mitchell,UTA,21,79,46,33,33.4,100.9,3.1,10.3,12.9,1.5,24.1,0.3,9.5,11.7,7.6,6.9,29.2,0.056
Dorian Finney-Smith,DAL,25,21,4,17,21.3,103.1,2.5,13.6,16.9,0.5,15.2,0.2,12.5,5.1,4.4,6.8,19,0.03
Doug McDermott,DAL,26,81,30,51,21.8,105.7,2,9.9,12.7,0.2,7.4,0.2,9,7.8,6.1,4.8,18.7,0.024
Dragan Bender,PHX,20,82,21,61,25.2,110.7,3.9,16.7,21.7,0.3,8,0.6,29.1,9.6,7,7.7,24.9,0.012
Draymond Green,GSW,28,70,48,22,32.7,103.7,6.6,21.1,27.5,1.3,23.5,1.3,28.1,13,9.2,9.3,30.9,0.045
Dwayne Bacon,CHA,22,53,25,28,13.5,103.9,2.3,17.6,21.4,0.3,16.3,0,4,3.8,3.1,3,12.5,0.018
Dwight Buycks,DET,29,29,10,19,14.7,100.7,1,7.6,9.6,0.7,28.8,0.1,5.9,4.8,3.1,3.2,12.3,0.025
Dwight Howard,CHA,32,81,35,46,30.4,106.4,9.3,32.7,40.8,0.6,14.7,1.6,49.6,10.1,7.2,7,28.2,0.031
Dwight Powell,DAL,26,79,23,56,21.2,106,3.9,21.3,27.2,0.8,25.7,0.4,33,6.3,4.8,6.2,17.9,0.022
Dwyane Wade,MIA,36,67,37,30,22.9,105.7,3,14.1,18.4,0.9,26.2,0.7,32.4,7.9,6.1,5.7,21.3,0.026
E'Twaun Moore,NOP,29,82,48,34,31.5,105.3,2.2,7.3,9.5,1,17.9,0.1,3.6,10.6,9,9.4,30.8,0.036
Ed Davis,POR,28,78,48,30,18.9,103.9,5,28.5,36.4,0.4,17.3,0.7,37.1,5.4,4.7,3.8,15.8,0.024
Edmond Sumner,IND,22,1,0,1,2.2,147.1,1,50,100,0,0,0,0,0,0,3,4,-0.011
Ekpe Udoh,UTA,31,63,36,27,12.9,101.3,1.3,12.2,15.1,0.7,25,1.2,67.3,4.1,2.8,2.3,11.1,0.021
Elfrid Payton,PHX,24,63,13,50,28.7,114.3,3.3,13,17.3,1.3,28.1,0.3,11.6,10.9,8.2,8.2,31.5,0.001
Emeka Okafor,NOP,35,26,16,10,13.6,100.5,2.8,19.8,26.4,0.3,13.6,1,39.1,5,4.3,4.9,14.5,0.024
Emmanuel Mudiay,NYK,22,64,29,35,19.4,113,2,11,14.7,0.6,23.8,0.2,8.3,8.6,5.1,5.3,18.9,0.004
Enes Kanter,NYK,26,71,27,44,25.8,110.7,7.1,31.1,40.3,0.5,14.4,0.5,23,9.7,6.5,7.4,24.8,0.013
Eric Bledsoe,MIL,28,74,40,34,31.4,106.7,3.1,11.3,15.2,2,32.4,0.6,15,10.2,9.2,6.8,30.4,0.031
Eric Gordon,HOU,29,69,55,14,31.2,102.6,2.1,7.4,9.2,0.6,12.1,0.4,12.3,10.2,8.2,7.2,31.5,0.046
Eric Moreland,DET,26,67,32,35,12,99.7,2.9,28.1,36.9,0.5,21.2,0.8,72.9,3,2.4,1.6,10,0.022
Erik McCree,UTA,24,4,4,0,1.9,123.4,0.3,25,33.3,0.3,33.3,0,0,1,0.5,0.5,3.5,-0.002
Ersan Ilyasova,PHI,31,69,36,33,25.1,105.1,4.2,18.2,23.9,0.9,21.8,0.4,14,8.4,6.8,6.5,23,0.029
Evan Fournier,ORL,25,57,20,37,32.2,109.3,2.8,9.5,12.6,0.8,14.9,0.3,8.7,11.1,8.9,8.2,34.4,0.022
Evan Turner,POR,29,79,48,31,25.7,105,2.7,11.2,14.4,0.6,17.3,0.4,13.6,8.1,6.4,6.4,23.5,0.031
Frank Kaminsky,CHA,25,79,35,44,23.2,110,3.1,15.4,19.1,0.5,14,0.2,12.7,6.4,4.7,4.7,22.1,0.013
Frank Mason,SAC,24,52,17,35,18.9,105.3,1.9,12.3,16.1,0.7,19.8,0.2,10.4,5.4,4.8,4,16.4,0.021
Frank Ntilikina,NYK,19,78,28,50,21.9,104.9,1.8,9,11.7,0.8,25.6,0.2,9.4,7.9,5.8,4.3,18.6,0.026
Fred VanVleet,TOR,24,76,55,21,20,99.9,2.1,11.9,15.5,0.9,25.4,0.3,8.6,5.4,5.6,3.8,17.8,0.036
Furkan Korkmaz,PHI,20,14,11,3,5.7,120.9,0.6,13.6,17.3,0.1,18.2,0.1,10,2.2,0.8,1.6,6.6,-0.004
Garrett Temple,SAC,32,65,23,42,24.8,108.4,2,9.6,12.3,0.9,21.1,0.4,18,8,6,6.3,21,0.019
Gary Harris,DEN,23,67,37,30,34.4,107.5,2.1,6.8,8.8,1.8,31.3,0.2,6.8,13,7.6,8.7,34,0.03
Gary Payton II,LAL,25,23,10,13,9.6,106.6,1.3,16.3,22.1,0.3,18.9,0.1,10.3,2.7,2.6,2.5,9.3,0.009
George Hill,CLE,32,67,28,39,27,111.4,2.1,9.1,11.6,0.9,21.7,0.4,17.9,8.5,6.6,6.7,24.8,0.01
Georges Niang,UTA,24,9,9,0,3.5,99.7,0.7,21.4,23.1,0.2,28.6,0,0,2.1,0.2,0.7,2.7,0.007
Georgios Papagiannis,POR,20,17,3,14,7.2,119.2,1.4,23.5,31.6,0.2,17.4,0.4,60,2.4,1.9,1,7.8,-0.004
Gerald Green,HOU,32,41,33,8,22.7,102.7,2.9,13.9,17.3,0.6,16.6,0.4,15.8,6.4,6.3,5.3,22.6,0.033
Gian Clavell,DAL,24,7,0,7,9.1,91.7,0.9,11.1,13.3,0.3,18.2,0,0,3.1,2.1,0.9,6.6,0.026
Giannis Antetokounmpo,MIL,23,75,39,36,36.8,105.4,8,24.9,32.4,1.5,21.7,1.4,32,11.3,9.5,7,34.4,0.042
Glenn Robinson III,IND,24,23,14,9,14.7,104.9,1.1,8.5,10.9,0.6,25,0,6.3,4.1,3.5,4.1,12.5,0.017
Goran Dragic,MIA,32,75,39,36,31.7,104.9,3.4,11.9,15.3,0.8,17.2,0.2,4.5,10.3,7.7,7.9,29.5,0.038
Gordon Hayward,BOS,28,1,0,1,5.3,87.2,1,20,25,0,0,0,0,2,2,2,2,0.017
Gorgui Dieng,MIN,28,79,45,34,16.9,111,3.2,23.1,30.4,0.6,19.8,0.5,40.2,5.6,4.6,4.7,16.5,0.008
Greg Monroe,BOS,28,51,21,30,20.4,110.9,4.7,27.8,36.5,0.9,27,0.5,32.4,8.4,4.8,6.4,22,0.009
Guerschon Yabusele,BOS,22,33,24,9,7.1,104.6,1.1,16.4,20.5,0.1,10,0.2,26.3,2.3,1.6,1.7,6.5,0.009
Harrison Barnes,DAL,26,77,24,53,34.2,108.7,5.1,17.2,21.7,0.6,12.9,0.2,6.7,10.1,8.1,10,31.2,0.025
Hassan Whiteside,MIA,28,54,30,24,25.3,103.8,8.2,35.4,44.8,0.7,18.2,1.7,54.7,8.2,5.8,7.4,22.8,0.034
Henry Ellenson,DET,21,38,21,17,8.7,98.3,1.9,23.4,28.3,0.1,8.6,0,0,2.6,2,1.9,8.5,0.018
Ian Clark,NOP,27,74,43,31,19.7,106,1.6,8.4,11.2,0.4,14.2,0.1,5.8,7.3,5.9,5.4,20.3,0.021
Ian Mahinmi,WAS,31,77,42,35,14.9,105,2.3,18.2,23.3,0.5,19.9,0.5,41.6,5.5,4.2,3.1,13,0.018
Ike Anigbogu,IND,19,11,5,6,2.7,134.1,0.4,14.3,26.7,0.1,50,0.3,75,0.5,0.9,1.2,5.3,-0.006
Iman Shumpert,SAC,27,14,9,5,19.7,103.2,2.4,12.6,17,0.6,23.1,0.3,16.7,7,6.1,3.9,17.7,0.029
Isaiah Canaan,PHX,27,20,9,11,21.1,108.7,2,10.8,14.2,0.8,29.6,0.1,4,7.4,5.6,5.7,19.8,0.014
